Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"Wolf House, Gubin, Poland (Sections. Ground floor terrace doors.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"11 1/2 x 22"" (29.2 x 55.9 cm)",,Architecture & Design,Mies van der Rohe Archive,29.21005842,55.88011176,,
"Wolf House, Gubin, Poland (Plan and elevations. Second floor children's study room.)",Ludwig Mies van der Rohe,1925,Pencil on print,"11 1/2 x 23 1/4"" (29.2 x 59.1 cm)",,Architecture & Design,Mies van der Rohe Archive,29.21005842,59.05511811,,
"Wolf House, Gubin, Poland (Living room plan.)",Ludwig Mies van der Rohe,1925,Pencil on print,"15 1/4 x 11 3/4"" (38.7 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,38.73507747,29.84505969,,
"Wolf House, Gubin, Poland (Plan. Second floor children's study room.)",Ludwig Mies van der Rohe,1925,Print,"15 x 15 1/4"" (38.1 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,38.1000762,38.73507747,,
"Wolf House, Gubin, Poland (Plan. Second floor children's study room.)",Ludwig Mies van der Rohe,1925,Print,"15 x 15 1/4"" (38.1 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,38.1000762,38.73507747,,
"Wolf House, Gubin, Poland (Living room plan. [print of MR30.101])",Ludwig Mies van der Rohe,1925,Print,"15 1/4 x 15"" (38.7 x 38.1 cm)",,Architecture & Design,Mies van der Rohe Archive,38.73507747,38.1000762,,
"Wolf House, Gubin, Poland (Plan, elevation, section. Ground floor reflecting pool, toy shed, and ash box.)",Ludwig Mies van der Rohe,1925,Print,"26 1/4 x 18 1/2"" (66.7 x 47 cm)",,Architecture & Design,Mies van der Rohe Archive,66.67513335,46.99009398,,
"Wolf House, Gubin, Poland (Elevations. Second floor children's study room. Wall paneling and cabinets.)",Ludwig Mies van der Rohe,1925,Print,"16 1/4 x 24 1/2"" (41.3 x 62.2 cm)",,Architecture & Design,Mies van der Rohe Archive,41.27508255,62.23012446,,
"Wolf House, Gubin, Poland (Elevation, section. Second floor children's study room. Sideboard cabinets.)",Ludwig Mies van der Rohe,1925,Print,"16 1/4 x 24"" (41.3 x 61 cm)",,Architecture & Design,Mies van der Rohe Archive,41.27508255,60.96012192,,
"Wolf House, Gubin, Poland (Plan and elevation. Ground floor ladies sitting room.)",Ludwig Mies van der Rohe,1925,Print,"17 1/4 x 27 1/2"" (43.8 x 69.9 cm)",,Architecture & Design,Mies van der Rohe Archive,43.81508763,69.8501397,,
"Wolf House, Gubin, Poland (Elevations. Second floor children's study room. Wall paneling.)",Ludwig Mies van der Rohe,1925,Ink on print,"16 3/4 x 24 1/4"" (42.5 x 61.6 cm)",,Architecture & Design,Mies van der Rohe Archive,42.54508509,61.59512319,,
"Wolf House, Gubin, Poland (Plan and elevations. Second floor children's study room.)",Ludwig Mies van der Rohe,1925,Colored pencil on print,"11 1/2 x 23 1/4"" (29.2 x 59.1 cm)",,Architecture & Design,Mies van der Rohe Archive,29.21005842,59.05511811,,
"Wolf House, Gubin, Poland (Sections. Built in vitrine detail.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"30 1/4 x 21 1/2"" (76.8 x 54.6 cm)",,Architecture & Design,Mies van der Rohe Archive,76.83515367,54.61010922,,
"Wolf House, Gubin, Poland (Plan. Second floor [south half].)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"18 3/4 x 26 1/2"" (47.6 x 67.3 cm)",,Architecture & Design,Mies van der Rohe Archive,47.62509525,67.31013462,,
"Wolf House, Gubin, Poland (Section. Wall details.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"18 3/4 x 40 1/2"" (47.6 x 102.9 cm)",,Architecture & Design,Mies van der Rohe Archive,47.62509525,102.8702057,,
"Wolf House, Gubin, Poland (Elevation and section. Devices for fastening grill to lateral rolls.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"21 1/4 x 31 1/4"" (54 x 79.4 cm)",,Architecture & Design,Mies van der Rohe Archive,53.97510795,79.37515875,,
"Wolf House, Gubin, Poland (Elevation. Brick courses.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"17 1/4 x 25 1/4"" (43.8 x 64.1 cm)",,Architecture & Design,Mies van der Rohe Archive,43.81508763,64.13512827,,
"Wolf House, Gubin, Poland (Section. Ground floor terrace door.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"36 x 42 3/4"" (91.4 x 108.6 cm)",,Architecture & Design,Mies van der Rohe Archive,91.44018288,108.5852172,,
"Wolf House, Gubin, Poland (West side elevation)",Ludwig Mies van der Rohe,1925,Print,"8 x 16 1/4"" (20.3 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,20.32004064,41.27508255,,
"Wolf House, Gubin, Poland (East side elevation)",Ludwig Mies van der Rohe,1925,Print,"7 1/4 x 14 1/2"" (18.4 x 36.8 cm)",,Architecture & Design,Mies van der Rohe Archive,18.41503683,36.83007366,,
"Wolf House, Gubin, Poland (North side elevation)",Ludwig Mies van der Rohe,1925,Print,"7 1/2 x 14 1/2"" (19.1 x 36.8 cm)",,Architecture & Design,Mies van der Rohe Archive,19.0500381,36.83007366,,
"Wolf House, Gubin, Poland (South side elevation)",Ludwig Mies van der Rohe,1925,Print,"7 1/4 x 14 1/2"" (18.4 x 36.8 cm)",,Architecture & Design,Mies van der Rohe Archive,18.41503683,36.83007366,,
"Wolf House, Gubin, Poland (Third floor plan.)",Ludwig Mies van der Rohe,1925,Print,"10 3/4 x 8 3/4"" (27.3 x 22.2 cm)",,Architecture & Design,Mies van der Rohe Archive,27.30505461,22.22504445,,
"Wolf House, Gubin, Poland (Ground floor plan [duplicate of MR30.44])",Ludwig Mies van der Rohe,1925,Print,"16 x 16 1/4"" (40.6 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,41.27508255,,
"Wolf House, Gubin, Poland (Basement plan [duplicate of MR30.41])",Ludwig Mies van der Rohe,1925,Print,"14 1/2 x 15 3/4"" (36.8 x 40 cm)",,Architecture & Design,Mies van der Rohe Archive,36.83007366,40.00508001,,
"Wolf House, Gubin, Poland (Section. All floors.)",Ludwig Mies van der Rohe,1925,Print,"10 x 16"" (25.4 x 40.6 cm)",,Architecture & Design,Mies van der Rohe Archive,25.4000508,40.64008128,,
"Wolf House, Gubin, Poland (Second floor plan [duplicate of MR30.31])",Ludwig Mies van der Rohe,1925,Print,"16 x 16"" (40.6 x 40.6 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,40.64008128,,
"Wolf House, Gubin, Poland (Second floor plan)",Ludwig Mies van der Rohe,1925,Print,"16 x 16 1/4"" (40.6 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,41.27508255,,
"Wolf House, Gubin, Poland (Second floor plan [duplicate of MR30.32])",Ludwig Mies van der Rohe,1925,Print,"14 1/4 x 19 1/4"" (36.2 x 48.9 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,48.89509779,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Print,"17 x 18 3/4"" (43.2 x 47.6 cm)",,Architecture & Design,Mies van der Rohe Archive,43.18008636,47.62509525,,
"Wolf House, Gubin, Poland (Ground floor plan)",Ludwig Mies van der Rohe,1925,Pencil on print,"14 1/4 x 15 1/2"" (36.2 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,39.37007874,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1925,Print,"13 3/4 x 13 1/4"" (34.9 x 33.7 cm)",,Architecture & Design,Mies van der Rohe Archive,34.92506985,33.65506731,,
"Wolf House, Gubin, Poland (Basement plan)",Ludwig Mies van der Rohe,1925,Print,"14 1/4 x 15 3/4"" (36.2 x 40 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,40.00508001,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1925,Print,"14 1/4 x 15 1/2"" (36.2 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,39.37007874,,
"Wolf House, Gubin, Poland (Second floor plan)",Ludwig Mies van der Rohe,1925,Print,"14 x 15 1/2"" (35.6 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,35.56007112,39.37007874,,
"Wolf House, Gubin, Poland (Ground floor plan)",Ludwig Mies van der Rohe,1925,Print,"16 x 16 1/4"" (40.6 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,41.27508255,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1925,Print,"19 x 19"" (48.3 x 48.3 cm)",,Architecture & Design,Mies van der Rohe Archive,48.26009652,48.26009652,,
"Wolf House, Gubin, Poland (Elevation, plan and section. Fireproof door.)",Ludwig Mies van der Rohe,1925,Print,"16 3/4 x 19 1/4"" (42.5 x 48.9 cm)",,Architecture & Design,Mies van der Rohe Archive,42.54508509,48.89509779,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Print,"16 x 15 1/4"" (40.6 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,38.73507747,,
"Wolf House, Gubin, Poland (South side elevation)",Ludwig Mies van der Rohe,1925,Print,"9 1/4 x 19"" (23.5 x 48.3 cm)",,Architecture & Design,Mies van der Rohe Archive,23.49504699,48.26009652,,
"Wolf House, Gubin, Poland (Second and third floors)",Ludwig Mies van der Rohe,1925,Print,"17 x 18 3/4"" (43.2 x 47.6 cm)",,Architecture & Design,Mies van der Rohe Archive,43.18008636,47.62509525,,
"Wolf House, Gubin, Poland (Basement plan)",Ludwig Mies van der Rohe,1925,Pencil on print,"18 1/2 x 16 1/4"" (47 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,46.99009398,41.27508255,,
"Wolf House, Gubin, Poland (Second floor plan)",Ludwig Mies van der Rohe,1925,Print,"16 x 16 1/2"" (40.6 x 41.9 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,41.91008382,,
"Wolf House, Gubin, Poland (Ground floor plan)",Ludwig Mies van der Rohe,1925,Print,"14 1/4 x 15 1/4"" (36.1 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,36.13157226,38.73507747,,
"Wolf House, Gubin, Poland (Sections. Typical walls.)",Ludwig Mies van der Rohe,1925,Print,"8 1/2 x 13 1/4"" (21.6 x 33.7 cm)",,Architecture & Design,Mies van der Rohe Archive,21.59004318,33.65506731,,
"Wolf House, Gubin, Poland (Section. Second floor dressing room, wall cabinets.)",Ludwig Mies van der Rohe,1925,Pencil on paper,"26 1/4 x 17 3/4"" (66.7 x 45.1 cm)",,Architecture & Design,Mies van der Rohe Archive,66.67513335,45.08509017,,
"Wolf House, Gubin, Poland (Plan. Second floor dressing room, wall cabinets.)",Ludwig Mies van der Rohe,1925,Pencil on paper,"21 1/4 x 31 1/4"" (54 x 79.4 cm)",,Architecture & Design,Mies van der Rohe Archive,53.97510795,79.37515875,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"24 1/4 x 18 1/2"" (61.6 x 47 cm)",,Architecture & Design,Mies van der Rohe Archive,61.59512319,46.99009398,,
"Wolf House, Gubin, Poland (Plan. Ground floor, main stair.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"19 x 17 1/4"" (48.3 x 43.8 cm)",,Architecture & Design,Mies van der Rohe Archive,48.26009652,43.81508763,,
"Wolf House, Gubin, Poland (Elevations. Southwest, north and south sides.)",Ludwig Mies van der Rohe,1925,Print,"16 3/4 x 16 1/2"" (42.5 x 41.9 cm)",,Architecture & Design,Mies van der Rohe Archive,42.54508509,41.91008382,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1925,Print,"14 1/2 x 15 1/2"" (36.8 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,36.83007366,39.37007874,,
"Wolf House, Gubin, Poland (Site plan)",Ludwig Mies van der Rohe,1925,Print,"12 x 24"" (30.5 x 61 cm)",,Architecture & Design,Mies van der Rohe Archive,30.48006096,60.96012192,,
"Wolf House, Gubin, Poland (Plan. Second floor.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"20 1/2 x 16"" (52.1 x 40.6 cm)",,Architecture & Design,Mies van der Rohe Archive,52.07010414,40.64008128,,
"Wolf House, Gubin, Poland (Plan. Basement.)",Ludwig Mies van der Rohe,1925,Print,"14 1/2 x 15 3/4"" (36.8 x 40 cm)",,Architecture & Design,Mies van der Rohe Archive,36.83007366,40.00508001,,
"Wolf House, Gubin, Poland (Plan. Ground floor.)",Ludwig Mies van der Rohe,1925,Pencil on paper,"27 x 25"" (68.6 x 63.5 cm)",,Architecture & Design,Mies van der Rohe Archive,68.58013716,63.500127,,
"Wolf House, Gubin, Poland (Section. Dining room ceiling.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on paper,"6 1/4 x 52 1/4"" (15.9 x 132.7 cm)",,Architecture & Design,Mies van der Rohe Archive,15.87503175,132.7152654,,
Section. Dining room ceiling. (Plan. Ground floor.),Ludwig Mies van der Rohe,1925,Pencil and colored pencil on paper,"5 x 47 1/2"" (12.7 x 120.7 cm)",,Architecture & Design,Mies van der Rohe Archive,12.7000254,120.6502413,,
Section. Dining room ceiling. (Elevation. Ground floor.),Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"20 x 21"" (50.8 x 53.3 cm)",,Architecture & Design,Mies van der Rohe Archive,50.8001016,53.34010668,,
"Wolf House, Gubin, Poland (Sections. Brass casing.)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on paper,"25 1/2 x 23"" (64.8 x 58.4 cm)",,Architecture & Design,Mies van der Rohe Archive,64.77012954,58.42011684,,
"Wolf House, Gubin, Poland (Elevation and sections. Sliding door.)",Ludwig Mies van der Rohe,1925,Print,"21 1/4 x 16 1/2"" (54 x 41.9 cm)",,Architecture & Design,Mies van der Rohe Archive,53.97510795,41.91008382,,
"Wolf House, Gubin, Poland (Elevation, section, and plan. Main entrance door.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"11 1/2 x 15 1/2"" (29.2 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,29.21005842,39.37007874,,
"Wolf House, Gubin, Poland (Elevations, plans, sections. Window grills.)",Ludwig Mies van der Rohe,1925,Print,"28 x 35 3/4"" (71.1 x 90.8 cm)",,Architecture & Design,Mies van der Rohe Archive,71.12014224,90.80518161,,
"Wolf House, Gubin, Poland (Section. Window frame.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"9 1/4 x 13 1/4"" (23.5 x 33.7 cm)",,Architecture & Design,Mies van der Rohe Archive,23.49504699,33.65506731,,
"Wolf House, Gubin, Poland (Perspective. Ground floor entrance hall.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"17 1/4 x 18 3/4"" (43.8 x 47.6 cm)",,Architecture & Design,Mies van der Rohe Archive,43.81508763,47.62509525,,
"Wolf House, Gubin, Poland (Sections. Dressing room, wall cabinet.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"27 1/4 x 39 1/4"" (69.2 x 99.7 cm)",,Architecture & Design,Mies van der Rohe Archive,69.21513843,99.69519939,,
"Wolf House, Gubin, Poland (Elevation and section. Second floor children's study room. Sideboard cabinets.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"33 3/4 x 26"" (85.7 x 66 cm)",,Architecture & Design,Mies van der Rohe Archive,85.72517145,66.04013208,,
"Wolf House, Gubin, Poland (Elevation and section. Second floor children's study room. Table.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"31 1/2 x 12 1/4"" (80 x 31.1 cm)",,Architecture & Design,Mies van der Rohe Archive,80.01016002,31.11506223,,
"Wolf House, Gubin, Poland (Elevation and section. Second floor children's study room. Table.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"32 1/4 x 23"" (81.9 x 58.4 cm)",,Architecture & Design,Mies van der Rohe Archive,81.91516383,58.42011684,,
"Wolf House, Gubin, Poland (Elevation and section. Wooden slat fence on clinker brick base. Entrance pillars.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"34 3/4 x 42 1/4"" (88.3 x 107.3 cm)",,Architecture & Design,Mies van der Rohe Archive,88.26517653,107.3152146,,
"Wolf House, Gubin, Poland (Elevation and section. Second floor children's study room. Child's stool.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"21 1/2 x 21 1/2"" (54.6 x 54.6 cm)",,Architecture & Design,Mies van der Rohe Archive,54.61010922,54.61010922,,
Courthouse Interior:  5 Perspective Sketches,Ludwig Mies van der Rohe,1926,Ink,"Each: Sheet 8 1/4 x 11 3/4"" (20.9 x 29.8 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,20.9,29.8,,
Courthouse Interior: Perspective Sketch,Ludwig Mies van der Rohe,1926,Pencil,"Sheet 8 1/4 x 11 3/4"" (20.9 x 29.8 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,20.9,29.8,,
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"16 1/2 x 45 1/4"" (41.9 x 114.9 cm)",,Architecture & Design,Mies van der Rohe Archive,41.9101,114.9,,
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany (Site plan)",Ludwig Mies van der Rohe,1926,Pencil and colored crayon on paper,"27 1/2 x 58 3/4"" (69.8 x 149.2 cm)",,Architecture & Design,Mies van der Rohe Archive,69.8,149.2,,
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany (Site plan)",Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"41 1/2 x 59"" (105.4 x 149.9 cm)",,Architecture & Design,Mies van der Rohe Archive,105.4,149.9,,
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany (Plan)",Ludwig Mies van der Rohe,1926,Diazotype with colored pencil and charcoal,"17 1/4 x 21"" (43.8 x 53.4 cm)",,Architecture & Design,Mies van der Rohe Archive,33.0201,81.9,,
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany, West elevation",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"29 1/2 x 35 1/2"" (74.9 x 90.1 cm)",,Architecture & Design,Mies van der Rohe Archive,74.9,90.1,,
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany, East elevation",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"14 1/2 x 23 3/4"" (36.8 x 60.3 cm)",,Architecture & Design,Mies van der Rohe Archive,36.8301,60.3,,
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (Upper floor plan, interior perspectives)",Ludwig Mies van der Rohe,1926,Diazotype with pencil and colored pencil,"12 1/2 x 39 1/4"" (31.8 x 99.7 cm)",,Architecture & Design,Mies van der Rohe Archive,31.8,99.7,,
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (First, second and third floor plan)",Ludwig Mies van der Rohe,1926,Diazotype with pencil and colored pencil,"13 1/2 x 33 1/2"" (34.3 x 85.1 cm)",,Architecture & Design,Mies van der Rohe Archive,34.3,85.1,,
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (Upper floor plan)",Ludwig Mies van der Rohe,1926,Diazotype with pencil,"13 x 39"" (33 x 99.1 cm)",,Architecture & Design,Mies van der Rohe Archive,33.0201,99.1,,
"Monument to the November Revolution, Berlin-Lichtenberg, Germany, Site plan, section and elevation",Ludwig Mies van der Rohe,1926,Diazotype with watercolor and pencil,"26 3/4 x 19 1/4"" (67.9 x 48.9 cm)",,Architecture & Design,Mies van der Rohe Archive,67.9451,48.9,,
"Monument to the November Revolution, Berlin-Lichtenberg, Germany, Lettering study",Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"19 3/4 x 39 1/2"" (50.2 x 100.3 cm)",,Architecture & Design,Mies van der Rohe Archive,50.1651,100.3302,,
Unidentifiable sketches with notes,Ludwig Mies van der Rohe,1926,Ink on paper,"8 3/16 x 6"" (20.8 x 15.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.8,15.2,,
"Lounge Chair with Arms. Lounge Chair without Arms. Reclining Chair without Arms., Perspective and elevation sketches",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.8,21,,
Chair with Arms. Unidentifiable sketches. (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.7,21,,
